username,followers,predicted_label,score,bio,recent_captions,scores_json,matches_json
ivxn_galeano,89,unknown,0.0,Ivan paniagua Galeano,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
andres_zta2,256,unknown,0.0,@cristiano ðŸ’ª,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
nelson_rethey,100,unknown,0.0,nelson_rethey,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
ilovemygirfrend,14,unknown,0.0,ilovemygirfrend,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
sebas181120,0,unknown,0.0,sebas181120,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
juan47139934,54,unknown,0.0,juan47139934,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
cristian36231,7,unknown,0.0,Cristian Xavier Poma,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
dannae5028,61,unknown,0.0,dannae5028,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
aandreipuma,31,unknown,0.0,ley de Murphy?,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
key._x.x,177,unknown,0.0,key._x.x,[],"{""developer"": 0.0, ""student"": 0.0, ""photographer"": 0.0, ""influencer"": 0.0, ""model"": 0.0, ""musician"": 0.0, ""dancer"": 0.0, ""chef"": 0.0, ""fitness"": 0.0, ""journalist"": 0.0, ""teacher"": 0.0, ""business"": 0.0, ""designer"": 0.0, ""writer"": 0.0, ""gamer"": 0.0, ""travel"": 0.0}","{""developer"": [], ""student"": [], ""photographer"": [], ""influencer"": [], ""model"": [], ""musician"": [], ""dancer"": [], ""chef"": [], ""fitness"": [], ""journalist"": [], ""teacher"": [], ""business"": [], ""designer"": [], ""writer"": [], ""gamer"": [], ""travel"": []}"
